date,bitcoin cash
2018-01-21,53
2018-01-28,60
2018-02-04,64
2018-02-11,47
2018-02-18,47
2018-02-25,33
2018-03-04,29
2018-03-11,27
2018-03-18,22
2018-03-25,27
2018-04-01,27
2018-04-08,24
2018-04-15,32
2018-04-22,64
2018-04-29,35
2018-05-06,32
2018-05-13,35
2018-05-20,25
2018-05-27,24
2018-06-03,22
2018-06-10,23
2018-06-17,19
2018-06-24,19
2018-07-01,14
2018-07-08,20
2018-07-15,22
2018-07-22,23
2018-07-29,24
2018-08-05,25
2018-08-12,27
2018-08-19,20
2018-08-26,23
2018-09-02,24
2018-09-09,20
2018-09-16,19
2018-09-23,24
2018-09-30,18
2018-10-07,16
2018-10-14,18
2018-10-21,18
2018-10-28,20
2018-11-04,51
2018-11-11,73
2018-11-18,44
2018-11-25,28
2018-12-02,26
2018-12-09,24
2018-12-16,41
2018-12-23,25
2018-12-30,20
2019-01-06,22
2019-01-13,17
2019-01-20,19
2019-01-27,17
2019-02-03,18
2019-02-10,15
2019-02-17,20
2019-02-24,15
2019-03-03,15
2019-03-10,16
2019-03-17,17
2019-03-24,19
2019-03-31,36
2019-04-07,25
2019-04-14,25
2019-04-21,24
2019-04-28,19
2019-05-05,25
2019-05-12,40
2019-05-19,29
2019-05-26,26
2019-06-02,23
2019-06-09,23
2019-06-16,29
2019-06-23,36
2019-06-30,25
2019-07-07,23
2019-07-14,21
2019-07-21,19
2019-07-28,19
2019-08-04,24
2019-08-11,22
2019-08-18,17
2019-08-25,15
2019-09-01,21
2019-09-08,16
2019-09-15,17
2019-09-22,20
2019-09-29,22
2019-10-06,14
2019-10-13,18
2019-10-20,18
2019-10-27,22
2019-11-03,20
2019-11-10,17
2019-11-17,18
2019-11-24,18
2019-12-01,16
2019-12-08,15
2019-12-15,20
2019-12-22,19
2019-12-29,19
2020-01-05,23
2020-01-12,27
2020-01-19,26
2020-01-26,25
2020-02-02,25
2020-02-09,27
2020-02-16,25
2020-02-23,24
2020-03-01,23
2020-03-08,26
2020-03-15,28
2020-03-22,22
2020-03-29,24
2020-04-05,36
2020-04-12,28
2020-04-19,27
2020-04-26,28
2020-05-03,28
2020-05-10,28
2020-05-17,27
2020-05-24,24
2020-05-31,23
2020-06-07,20
2020-06-14,22
2020-06-21,19
2020-06-28,21
2020-07-05,20
2020-07-12,21
2020-07-19,25
2020-07-26,28
2020-08-02,28
2020-08-09,26
2020-08-16,28
2020-08-23,24
2020-08-30,22
2020-09-06,23
2020-09-13,20
2020-09-20,19
2020-09-27,20
2020-10-04,23
2020-10-11,21
2020-10-18,20
2020-10-25,25
2020-11-01,25
2020-11-08,28
2020-11-15,36
2020-11-22,39
2020-11-29,27
2020-12-06,25
2020-12-13,41
2020-12-20,45
2020-12-27,52
2021-01-03,99
2021-01-10,94
2021-01-17,50
2021-01-24,54
2021-01-31,54
2021-02-07,82
2021-02-14,100
2021-02-21,63
2021-02-28,47
2021-03-07,48
2021-03-14,47
2021-03-21,40
2021-03-28,38
