date,ethereum
2016-03-13,3
2016-03-20,3
2016-03-27,3
2016-04-03,2
2016-04-10,2
2016-04-17,2
2016-04-24,2
2016-05-01,2
2016-05-08,2
2016-05-15,4
2016-05-22,4
2016-05-29,3
2016-06-05,3
2016-06-12,6
2016-06-19,5
2016-06-26,3
2016-07-03,3
2016-07-10,2
2016-07-17,4
2016-07-24,4
2016-07-31,4
2016-08-07,2
2016-08-14,2
2016-08-21,2
2016-08-28,2
2016-09-04,1
2016-09-11,2
2016-09-18,3
2016-09-25,2
2016-10-02,2
2016-10-09,2
2016-10-16,2
2016-10-23,2
2016-10-30,2
2016-11-06,2
2016-11-13,2
2016-11-20,2
2016-11-27,2
2016-12-04,2
2016-12-11,1
2016-12-18,2
2016-12-25,2
2017-01-01,3
2017-01-08,2
2017-01-15,2
2017-01-22,2
2017-01-29,2
2017-02-05,2
2017-02-12,2
2017-02-19,2
2017-02-26,5
2017-03-05,4
2017-03-12,10
2017-03-19,9
2017-03-26,7
2017-04-02,6
2017-04-09,5
2017-04-16,5
2017-04-23,8
2017-04-30,13
2017-05-07,10
2017-05-14,12
2017-05-21,39
2017-05-28,31
2017-06-04,36
2017-06-11,57
2017-06-18,44
2017-06-25,42
2017-07-02,29
2017-07-09,32
2017-07-16,31
2017-07-23,22
2017-07-30,20
2017-08-06,24
2017-08-13,24
2017-08-20,23
2017-08-27,27
2017-09-03,24
2017-09-10,21
2017-09-17,18
2017-09-24,15
2017-10-01,14
2017-10-08,18
2017-10-15,22
2017-10-22,19
2017-10-29,21
2017-11-05,25
2017-11-12,23
2017-11-19,35
2017-11-26,54
2017-12-03,62
2017-12-10,77
2017-12-17,69
2017-12-24,44
2017-12-31,58
2018-01-07,77
2018-01-14,62
2018-01-21,37
2018-01-28,40
2018-02-04,35
2018-02-11,24
2018-02-18,22
2018-02-25,17
2018-03-04,16
2018-03-11,17
2018-03-18,16
2018-03-25,17
2018-04-01,13
2018-04-08,13
2018-04-15,13
2018-04-22,15
2018-04-29,15
2018-05-06,15
2018-05-13,12
2018-05-20,11
2018-05-27,11
2018-06-03,10
2018-06-10,11
2018-06-17,10
2018-06-24,9
2018-07-01,8
2018-07-08,8
2018-07-15,8
2018-07-22,8
2018-07-29,8
2018-08-05,10
2018-08-12,13
2018-08-19,9
2018-08-26,9
2018-09-02,10
2018-09-09,12
2018-09-16,8
2018-09-23,8
2018-09-30,7
2018-10-07,7
2018-10-14,6
2018-10-21,6
2018-10-28,6
2018-11-04,6
2018-11-11,7
2018-11-18,8
2018-11-25,8
2018-12-02,8
2018-12-09,7
2018-12-16,7
2018-12-23,9
2018-12-30,8
2019-01-06,9
2019-01-13,7
2019-01-20,5
2019-01-27,5
2019-02-03,5
2019-02-10,6
2019-02-17,8
2019-02-24,8
2019-03-03,5
2019-03-10,5
2019-03-17,5
2019-03-24,4
2019-03-31,7
2019-04-07,6
2019-04-14,5
2019-04-21,6
2019-04-28,6
2019-05-05,6
2019-05-12,11
2019-05-19,8
2019-05-26,8
2019-06-02,6
2019-06-09,6
2019-06-16,8
2019-06-23,12
2019-06-30,10
2019-07-07,17
2019-07-14,24
2019-07-21,6
2019-07-28,5
2019-08-04,6
2019-08-11,5
2019-08-18,6
2019-08-25,5
2019-09-01,5
2019-09-08,5
2019-09-15,6
2019-09-22,5
2019-09-29,5
2019-10-06,5
2019-10-13,4
2019-10-20,5
2019-10-27,5
2019-11-03,5
2019-11-10,4
2019-11-17,5
2019-11-24,5
2019-12-01,4
2019-12-08,5
2019-12-15,5
2019-12-22,5
2019-12-29,5
2020-01-05,5
2020-01-12,7
2020-01-19,6
2020-01-26,6
2020-02-02,9
2020-02-09,13
2020-02-16,10
2020-02-23,9
2020-03-01,7
2020-03-08,10
2020-03-15,10
2020-03-22,7
2020-03-29,7
2020-04-05,8
2020-04-12,8
2020-04-19,9
2020-04-26,11
2020-05-03,10
2020-05-10,11
2020-05-17,9
2020-05-24,9
2020-05-31,11
2020-06-07,10
2020-06-14,9
2020-06-21,9
2020-06-28,9
2020-07-05,10
2020-07-12,10
2020-07-19,13
2020-07-26,24
2020-08-02,25
2020-08-09,19
2020-08-16,17
2020-08-23,13
2020-08-30,18
2020-09-06,13
2020-09-13,12
2020-09-20,10
2020-09-27,9
2020-10-04,8
2020-10-11,9
2020-10-18,10
2020-10-25,10
2020-11-01,11
2020-11-08,14
2020-11-15,18
2020-11-22,30
2020-11-29,22
2020-12-06,15
2020-12-13,21
2020-12-20,22
2020-12-27,39
2021-01-03,100
2021-01-10,77
2021-01-17,66
2021-01-24,64
2021-01-31,81
2021-02-07,92
2021-02-14,86
2021-02-21,86
2021-02-28,58
2021-03-07,63
2021-03-14,55
2021-03-21,48
2021-03-28,62
